"Id","Short Name","Long Name"
1,"abaca","Manila Fibre (Abaca)"
2,"agave","Agave Fibres Nes"
3,"alfalfa","alfalfa"
4,"almond","Almonds, with shell"
5,"aniseetc","Anise, badian, fennel, corian."
6,"apple","Apples"
7,"apricot","Apricots"
8,"areca","Arecanuts"
9,"artichoke","Artichokes"
10,"asparagus","Asparagus"
11,"avocado","Avocados"
12,"bambara","Bambara beans"
13,"banana","Bananas"
14,"barley","Barley"
15,"bean","Beans, dry"
16,"beetfor","beetfor"
17,"berrynes","Berries Nes"
18,"blueberry","Blueberries"
19,"brazil","Brazil nuts, with shell"
20,"broadbean","Broad beans, horse beans, dry"
21,"buckwheat","Buckwheat"
22,"cabbage","Cabbages and other brassicas"
23,"cabbagefor","cabbagefor"
24,"canaryseed","Canary seed"
25,"carob","Carobs"
26,"carrot","Carrots and turnips"
27,"carrotfor","carrotfor"
28,"cashew","Cashew nuts, with shell"
29,"cashewapple","Cashewapple"
30,"cassava","Cassava"
31,"castor","Castor oil seed"
32,"cauliflower","Cauliflowers and broccoli"
33,"cerealnes","Cereals, nes"
34,"cherry","Cherries"
35,"chestnut","Chestnuts"
36,"chickpea","Chick peas"
37,"chicory","Chicory roots"
38,"chilleetc","Chillies and peppers, green"
39,"cinnamon","Cinnamon (canella)"
40,"citrusnes","Citrus fruit, nes"
41,"clove","Cloves"
42,"clover","clover"
43,"cocoa","Cocoa beans"
44,"coconut","Coconuts"
45,"coffee","Coffee, green"
46,"coir","Coir"
47,"cotton","Seed cotton"
48,"cowpea","Cow peas, dry"
49,"cranberry","Cranberries"
50,"cucumberetc","Cucumbers and gherkins"
51,"currant","Currants"
52,"date","Dates"
53,"eggplant","Eggplants (aubergines)"
54,"fibrenes","Fibre Crops Nes"
55,"fig","Figs"
56,"flax","Flax fibre and tow"
57,"fonio","Fonio"
58,"fornes","fornes"
59,"fruitnes","Fruit Fresh Nes"
60,"garlic","Garlic"
61,"ginger","Ginger"
62,"gooseberry","Gooseberries"
63,"grape","Grapes"
64,"grapefruitetc","Grapefruit (inc. pomelos)"
65,"grassnes","grassnes"
66,"greenbean","Beans, green"
67,"greenbroadbean","Leguminous vegetables, nes"
68,"greencorn","Maize, green"
69,"greenonion","Onions (inc. shallots), green"
70,"greenpea","Peas, green"
71,"groundnut","Groundnuts, with shell"
72,"gums","Gums Natural"
73,"hazelnut","Hazelnuts, with shell"
74,"hemp","Hemp Tow Waste"
75,"hempseed","Hempseed"
76,"hop","Hops"
77,"jute","Jute"
78,"jutelikefiber","Other Bastfibres"
79,"kapokfiber","Kapok Fibre"
80,"kapokseed","Kapokseed in Shell"
81,"karite","Karite Nuts (Sheanuts)"
82,"kiwi","Kiwi fruit"
83,"kolanut","Kolanuts"
84,"legumenes","legumenes"
85,"lemonlime","Lemons and limes"
86,"lentil","Lentils"
87,"lettuce","Lettuce and chicory"
88,"linseed","Linseed"
89,"lupin","Lupins"
90,"maize","Maize"
91,"maizefor","maizefor"
92,"mango","Mangoes, mangosteens, guavas"
93,"mate","Maté"
94,"melonetc","Other melons (inc.cantaloupes)"
95,"melonseed","Melonseed"
96,"millet","Millet"
97,"mixedgrain","Mixed grain"
98,"mixedgrass","mixedgrass"
99,"mushroom","Mushrooms and truffles"
100,"mustard","Mustard seed"
101,"nutmeg","Nutmeg, mace and cardamoms"
102,"nutnes","Nuts, nes"
103,"oats","Oats"
104,"oilpalm","Oil palm fruit"
105,"oilseedfor","oilseedfor"
106,"oilseednes","Oilseeds, Nes"
107,"okra","Okra"
108,"olive","Olives"
109,"onion","Onions, dry"
110,"orange","Oranges"
111,"papaya","Papayas"
112,"pea","Peas, dry"
113,"peachetc","Peaches and nectarines"
114,"pear","Pears"
115,"pepper","Pepper (Piper spp.)"
116,"peppermint","Peppermint"
117,"persimmon","Persimmons"
118,"pigeonpea","Pigeon peas"
119,"pimento","Chillies and peppers, dry"
120,"pineapple","Pineapples"
121,"pistachio","Pistachios"
122,"plantain","Plantains"
123,"plum","Plums and sloes"
124,"popcorn","Popcorn"
125,"poppy","Poppy seed"
126,"potato","Potatoes"
127,"pulsenes","Pulses, nes"
128,"pumpkinetc","Pumpkins, squash and gourds"
129,"pyrethrum","Pyrethrum,Dried"
130,"quince","Quinces"
131,"quinoa","Quinoa"
132,"ramie","Ramie"
133,"rapeseed","Rapeseed"
134,"rasberry","Raspberries"
135,"rice","Rice, paddy"
136,"rootnes","Roots and Tubers, nes"
137,"rubber","Natural rubber"
138,"rye","Rye"
139,"ryefor","ryefor"
140,"safflower","Safflower seed"
141,"sesame","Sesame seed"
142,"sisal","Sisal"
143,"sorghum","Sorghum"
144,"sorghumfor","sorghumfor"
145,"sourcherry","Sour cherries"
146,"soybean","Soybeans"
147,"spicenes","Spices, nes"
148,"spinach","Spinach"
149,"stonefruitnes","Stone fruit, nes"
150,"strawberry","Strawberries"
151,"stringbean","String beans"
152,"sugarbeet","Sugar beet"
153,"sugarcane","Sugar cane"
154,"sugarnes","Sugar crops, nes"
155,"sunflower","Sunflower seed"
156,"swedefor","swedefor"
157,"sweetpotato","Sweet potatoes"
158,"tangetc","Tangerines, mandarins, clem."
159,"taro","Taro (cocoyam)"
160,"tea","Tea"
161,"tobacco","Tobacco, unmanufactured"
162,"tomato","Tomatoes"
163,"triticale","Triticale"
164,"tropicalnes","Fruit, tropical fresh nes"
165,"tung","Tung Nuts"
166,"turnipfor","turnipfor"
167,"vanilla","Vanilla"
168,"vegetablenes","Vegetables fresh nes"
169,"vegfor","vegfor"
170,"vetch","Vetches"
171,"walnut","Walnuts, with shell"
172,"watermelon","Watermelons"
173,"wheat","Wheat"
174,"yam","Yams"
175,"yautia","Yautia (cocoyam)"
